sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
A01.0+G01,Meningitis (in) typhoid fever,-1,,0,APPROVED,EQUAL,PKo,1666794379044,4100102,Meningitis due to typhoid fever,Condition,MAPS_TO,,TAYS,1623974400000,,2000500101,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01|A01.0|G01,ICD10|ICD10|ICD10,Lavantautiin liittyvä aivokalvotulehdus,,
A01.0+I39.8,Endocarditis in typhoid fever,-1,,0,APPROVED,EQUAL,PKo,1666794384737,4111401,Endocarditis - typhoid,Condition,MAPS_TO,,TAYS,1623974400000,,2000500102,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01|A01.0|I39.8,ICD10|ICD10|ICD10,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,,
A01.0+J17.0,Typhoid fever pneumonia,-1,,0,APPROVED,EQUAL,PKo,1666794388143,4166072,Pneumonia in typhoid fever,Condition,MAPS_TO,,TAYS,1623974400000,,2000500103,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01|A01.0|J17.0,ICD10|ICD10|ICD10,Lavantautiin liittyvä keuhkokuume,,
A01.4+M01.3,Arthritis in typhoid or paratyphoid fever,-1,,0.78,APPROVED,EQUIVALENT,PKo,1666806100347,80316,Salmonella arthritis,Condition,MAPS_TO,,PKo,1666806094598,,2000500104,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A01|A01.4|M01.3,ICD10|ICD10|ICD10,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,,
A02.2+G01,Salmonella meningitis,-1,,0,APPROVED,EQUAL,PKo,1666794600409,437772,Salmonella meningitis,Condition,MAPS_TO,,TAYS,1623974400000,,2000500105,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|G01,ICD10|ICD10|ICD10,Salmonellan aiheuttama aivokalvotulehdus,,
A02.2+H22.0,Salmonella iridocyclitis,-1,,0,APPROVED,EQUIVALENT,PKo,1669562203571,133685,Salmonella infection,Condition,MAPS_TO,,PKo,1669562182263,,2000500106,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|H22.0,ICD10|ICD10|ICD10,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,,
A02.2+H22.0,Salmonella iridocyclitis,-1,,0,APPROVED,EQUIVALENT,PKo,1669562203571,4109415,Secondary infected iridocyclitis,Condition,MAPS_TO,,PKo,1669562182263,,2000500106,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|H22.0,ICD10|ICD10|ICD10,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,,
A02.2+J17.0,Salmonella pneumonia,-1,,0,APPROVED,EQUAL,PKo,1666803987773,258333,Salmonella pneumonia,Condition,MAPS_TO,,TAYS,1623974400000,,2000500107,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|J17.0,ICD10|ICD10|ICD10,Salmonellan aiheuttama keuhkokuume,,
A02.2+M01.3,Salmonella arthritis,-1,,0,APPROVED,EQUAL,PKo,1666803996141,80316,Salmonella arthritis,Condition,MAPS_TO,,TAYS,1623974400000,,2000500108,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|M01.3,ICD10|ICD10|ICD10,Salmonellan aiheuttama niveltulehdus,,
A02.2+M90.2,Salmonella osteomyelitis,-1,,0,APPROVED,EQUAL,PKo,1666803999237,134264,Salmonella osteomyelitis,Condition,MAPS_TO,,TAYS,1623974400000,,2000500109,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,A02|A02.2|M90.2,ICD10|ICD10|ICD10,Salmonellan aiheuttama osteomyeliitti,,
